ala # qwe
bbb#qwe
caw # b ewq
zx #h ewq
e# b
abcde 0
abcde a
abcde 0a
abcde ba
abcde 00a
abcde c0a
abcde 0ba
abcde cba
abcde 000a
abcde d00a
zxcv dc0a
zxcv 00ba
zxcv d0ba
zxcv 0cba
zxcv dcba
zxcv 0000a
zxcv e000a
zxcv 0d00a
zxcv ed00a
zxcv 00c0a
zxcv e0c0a
zxcv 0dc0a
zxcv edc0a
zxcv 000ba
zxcv e00ba
zxcv 0d0ba
zxcv ed0ba
zxcv 00cba
zxcv e0cba
zxcv 0dcba
zxcv edcba
zxcv 00000a
zxcv f0000a
zxcv 0e000a
zxcv fe000a
zxcv 00d00a
zxcv f0d00a
zxcv 0ed00a
zxcv fed00a
zxcv 000c0a
zxcv f00c0a
zxcv 0e0c0a
zxcv fe0c0a
zxcv 00dc0a
zxcv f0dc0a
zxcv 0edc0a
zxcv fedc0a
zxcv 0000ba
zxcv f000ba
zxcv 0e00ba
zxcv fe00ba
zxcv 00d0ba
zxcv f0d0ba
zxcv 0ed0ba
zxcv fed0ba
zxcv 000cba
zxcv f00cba
zxcv 0e0cba
zxcv fe0cba
zxcv 00dcba
zxcv f0dcba
zxcv 0edcba
zxcv fedcba
zxcv 000000a
zxcv g00000a
zxcv 0f0000a
zxcv gf0000a
zxcv 00e000a
zxcv g0e000a
zxcv 0fe000a
zxcv gfe000a
zxcv 000d00a
zxcv g00d00a
zxcv 0f0d00a
zxcv gf0d00a
zxcv 00ed00a
zxcv g0ed00a
zxcv 0fed00a
zxcv gfed00a
zxcv 0000c0a
zxcv g000c0a
zxcv 0f00c0a
zxcv gf00c0a
zxcv 00e0c0a
zxcv g0e0c0a
zxcv 0fe0c0a
zxcv gfe0c0a
zxcv 000dc0a
zxcv g00dc0a
zxcv 0f0dc0a
zxcv gf0dc0a
zxcv 00edc0a
zxcv g0edc0a
zxcv 0fedc0a
zxcv gfedc0a
zxcv 00000ba
zxcv g0000ba
zxcv 0f000ba
zxcv gf000ba
zxcv 00e00ba
qwert g0e00ba
qwert 0fe00ba
qwert gfe00ba
qwert 000d0ba
qwert g00d0ba
qwert 0f0d0ba
qwert gf0d0ba
qwert 00ed0ba
qwert g0ed0ba
qwert 0fed0ba
qwert gfed0ba
qwert 0000cba
qwert g000cba
qwert 0f00cba
qwert gf00cba
qwert 00e0cba
qwert g0e0cba
qwert 0fe0cba
qwert gfe0cba
qwert 000dcba
qwert g00dcba
qwert 0f0dcba
qwert gf0dcba
qwert 00edcba
qwert g0edcba
qwert 0fedcba
qwert gfedcba
qwert 0000000a
qwert h000000a
qwert 0g00000a
qwert hg00000a
qwert 00f0000a
qwert h0f0000a
qwert 0gf0000a
qwert hgf0000a
qwert 000e000a
qwert h00e000a
qwert 0g0e000a
qwert hg0e000a
qwert 00fe000a
qwert h0fe000a
qwert 0gfe000a
qwert hgfe000a
qwert 0000d00a
qwert h000d00a
qwert 0g00d00a
qwert hg00d00a
qwert 00f0d00a
qwert h0f0d00a
qwert 0gf0d00a
qwert hgf0d00a
qwert 000ed00a
qwert h00ed00a
qwert 0g0ed00a
qwert hg0ed00a
qwert 00fed00a
qwert h0fed00a
qwert 0gfed00a
qwert hgfed00a
qwert 00000c0a
qwert h0000c0a
